timestamp,sport_name,sport_id,league_id,league_name,event_id,event_type,live_status_id,starts,home_team,away_team,is_have_odds,moneyline_home,moneyline_draw,moneyline_away,spread_points,spread_home_price,spread_away_price,total_points,total_over_price,total_under_price,team_total_home_points,team_total_home_over,team_total_home_under,team_total_away_points,team_total_away_over,team_total_away_under,open_money_line,open_spreads,open_totals,open_team_total
2025-10-26T20:53:18.780520Z,Basketball,3,487,NBA,1618390276,live,1,2025-10-26T19:30:00,Detroit Pistons,Boston Celtics,True,1.632,,2.4,-1.0,1.653,2.33,225.5,1.684,2.23,114.5,1.84,2.02,112.5,1.909,1.943,True,True,True,True
2025-10-26T20:53:19.288686Z,American Football,7,889,NFL,1617935261,live,1,2025-10-26T20:05:00,New Orleans Saints,Tampa Bay Buccaneers,True,4.31,,1.241,4.5,2.4,1.578,34.0,1.628,2.25,13.5,1.74,2.01,21.5,1.884,1.854,True,True,True,True
2025-10-26T20:53:19.288742Z,American Football,7,889,NFL,1617935322,live,1,2025-10-26T20:25:00,Denver Broncos,Dallas Cowboys,True,1.283,,3.73,-4.5,1.561,2.39,52.0,1.584,2.34,31.5,1.9,1.84,25.5,2.19,1.625,True,True,True,True
2025-10-26T20:53:19.288773Z,American Football,7,889,NFL,1617935321,live,1,2025-10-26T20:25:00,Indianapolis Colts,Tennessee Titans,True,1.033,,18.69,-15.5,1.558,2.45,43.5,1.649,2.21,31.5,1.97,1.847,13.5,1.909,1.909,False,False,False,False
2025-10-26T20:53:29.932713Z,Basketball,3,487,NBA,1618390276,live,1,2025-10-26T19:30:00,Detroit Pistons,Boston Celtics,True,1.632,,2.4,-1.0,1.653,2.33,225.5,1.684,2.23,114.5,1.84,2.02,112.5,1.909,1.943,True,True,True,True
2025-10-26T20:53:30.533292Z,American Football,7,889,NFL,1617935261,live,1,2025-10-26T20:05:00,New Orleans Saints,Tampa Bay Buccaneers,True,4.21,,1.236,4.5,2.38,1.564,34.0,1.617,2.22,13.5,1.74,2.01,21.5,1.884,1.854,True,True,True,True
2025-10-26T20:53:30.533339Z,American Football,7,889,NFL,1617935322,live,1,2025-10-26T20:25:00,Denver Broncos,Dallas Cowboys,True,1.283,,3.73,-4.5,1.571,2.42,52.0,1.584,2.34,31.5,1.9,1.84,25.5,2.19,1.625,True,True,True,True
2025-10-26T20:53:30.533369Z,American Football,7,889,NFL,1617935321,live,1,2025-10-26T20:25:00,Indianapolis Colts,Tennessee Titans,True,1.045,,14.88,-15.5,1.558,2.45,43.5,1.649,2.21,31.5,1.97,1.847,13.5,1.909,1.909,False,False,False,False
2025-10-26T20:53:41.581558Z,American Football,7,889,NFL,1617935261,live,1,2025-10-26T20:05:00,New Orleans Saints,Tampa Bay Buccaneers,True,4.42,,1.219,4.5,2.46,1.529,34.0,1.671,2.13,13.5,1.813,1.934,21.5,1.909,1.833,True,True,True,True
2025-10-26T20:53:41.581665Z,American Football,7,889,NFL,1617935321,live,1,2025-10-26T20:25:00,Indianapolis Colts,Tennessee Titans,True,1.045,,14.75,-15.5,1.558,2.45,43.5,1.609,2.29,31.5,1.934,1.884,13.5,1.877,1.934,True,True,True,True
2025-10-26T20:53:52.836896Z,American Football,7,889,NFL,1617935322,live,1,2025-10-26T20:25:00,Denver Broncos,Dallas Cowboys,True,1.283,,3.73,-4.5,1.571,2.41,52.5,1.609,2.28,31.5,1.892,1.847,25.5,2.18,1.628,True,True,True,True
2025-10-26T20:54:03.434530Z,Basketball,3,487,NBA,1618390276,live,1,2025-10-26T19:30:00,Detroit Pistons,Boston Celtics,True,1.632,,2.4,-1.0,1.653,2.33,225.5,1.684,2.23,114.5,1.84,2.02,112.5,1.909,1.943,True,True,True,True
2025-10-26T20:54:04.129440Z,American Football,7,889,NFL,1617935261,live,1,2025-10-26T20:05:00,New Orleans Saints,Tampa Bay Buccaneers,True,4.42,,1.219,4.5,2.46,1.529,34.0,1.694,2.1,13.5,1.826,1.917,21.5,1.934,1.813,True,True,True,True
2025-10-26T20:54:04.129475Z,American Football,7,889,NFL,1617935322,live,1,2025-10-26T20:25:00,Denver Broncos,Dallas Cowboys,True,1.276,,3.79,-4.5,1.552,2.46,52.5,1.602,2.3,31.5,1.869,1.869,25.5,2.2,1.621,True,True,True,True
2025-10-26T20:54:04.129488Z,American Football,7,889,NFL,1617935321,live,1,2025-10-26T20:25:00,Indianapolis Colts,Tennessee Titans,True,1.043,,13.89,-15.5,1.549,2.41,43.5,1.561,2.33,31.5,1.892,1.892,13.5,1.833,1.952,True,True,True,True
2025-10-26T20:54:15.141444Z,American Football,7,889,NFL,1617935261,live,1,2025-10-26T20:05:00,New Orleans Saints,Tampa Bay Buccaneers,True,4.42,,1.219,4.5,2.46,1.529,34.0,1.694,2.1,13.5,1.826,1.917,21.5,1.934,1.813,False,False,False,False
2025-10-26T20:54:15.141519Z,American Football,7,889,NFL,1617935322,live,1,2025-10-26T20:25:00,Denver Broncos,Dallas Cowboys,True,1.275,,3.8,-4.5,1.549,2.47,52.5,1.621,2.26,31.5,1.892,1.847,25.5,2.22,1.609,True,True,True,True
2025-10-26T20:54:15.141554Z,American Football,7,889,NFL,1617935321,live,1,2025-10-26T20:25:00,Indianapolis Colts,Tennessee Titans,True,1.043,,13.89,-15.5,1.549,2.41,43.5,1.561,2.33,31.5,1.892,1.892,13.5,1.833,1.952,False,False,False,False
2025-10-26T20:54:25.666152Z,Basketball,3,487,NBA,1618390276,live,1,2025-10-26T19:30:00,Detroit Pistons,Boston Celtics,True,1.632,,2.4,-1.0,1.653,2.33,225.5,1.684,2.23,114.5,1.84,2.02,112.5,1.909,1.943,True,True,True,True
2025-10-26T20:54:26.211961Z,American Football,7,889,NFL,1617935261,live,1,2025-10-26T20:05:00,New Orleans Saints,Tampa Bay Buccaneers,True,4.43,,1.218,4.5,2.47,1.526,34.0,1.671,2.13,13.5,1.813,1.925,21.5,1.9,1.833,True,True,True,True
2025-10-26T20:54:26.212018Z,American Football,7,889,NFL,1617935322,live,1,2025-10-26T20:25:00,Denver Broncos,Dallas Cowboys,True,1.28,,3.75,-4.5,1.564,2.43,52.5,1.621,2.26,31.5,1.9,1.84,25.5,2.2,1.617,True,True,True,True
2025-10-26T20:54:26.212093Z,American Football,7,889,NFL,1617935321,live,1,2025-10-26T20:25:00,Indianapolis Colts,Tennessee Titans,True,1.042,,14.08,-15.5,1.543,2.43,43.5,1.578,2.3,31.5,1.9,1.884,13.5,1.854,1.934,True,True,True,True
2025-10-26T20:54:37.364364Z,American Football,7,889,NFL,1617935261,live,1,2025-10-26T20:05:00,New Orleans Saints,Tampa Bay Buccaneers,True,4.47,,1.216,4.5,2.48,1.52,34.0,1.675,2.13,13.5,1.826,1.917,21.5,1.9,1.84,True,True,True,True
2025-10-26T20:54:37.364514Z,American Football,7,889,NFL,1617935322,live,1,2025-10-26T20:25:00,Denver Broncos,Dallas Cowboys,True,1.28,,3.75,-4.5,1.564,2.43,52.5,1.621,2.26,31.5,1.9,1.84,25.5,2.2,1.617,False,False,False,False
2025-10-26T20:54:37.364583Z,American Football,7,889,NFL,1617935321,live,1,2025-10-26T20:25:00,Indianapolis Colts,Tennessee Titans,True,1.044,,13.77,-15.5,1.555,2.4,43.5,1.568,2.32,31.5,1.9,1.884,13.5,1.833,1.952,True,True,True,True
2025-10-26T20:54:48.378838Z,American Football,7,889,NFL,1617935322,live,1,2025-10-26T20:25:00,Denver Broncos,Dallas Cowboys,True,1.259,,3.96,-4.5,1.52,2.54,52.5,1.564,2.38,31.5,1.8,1.943,25.5,2.19,1.625,True,True,True,True
2025-10-26T20:54:59.405687Z,American Football,7,889,NFL,1617935261,live,1,2025-10-26T20:05:00,New Orleans Saints,Tampa Bay Buccaneers,True,4.47,,1.216,4.5,2.48,1.52,34.0,1.675,2.13,13.5,1.826,1.917,21.5,1.9,1.84,False,False,False,False
2025-10-26T20:54:59.405801Z,American Football,7,889,NFL,1617935322,live,1,2025-10-26T20:25:00,Denver Broncos,Dallas Cowboys,True,1.261,,3.94,-4.5,1.526,2.53,52.5,1.52,2.48,31.5,1.763,1.99,25.5,2.13,1.657,True,True,True,True
2025-10-26T20:54:59.405842Z,American Football,7,889,NFL,1617935321,live,1,2025-10-26T20:25:00,Indianapolis Colts,Tennessee Titans,True,1.044,,13.77,-15.5,1.555,2.4,43.5,1.568,2.32,31.5,1.9,1.884,13.5,1.833,1.952,False,False,False,False
