ts,msg,dry_run,tickers
2025-11-01T20:36:12.904004Z,trader_start,True,"KXNFLGAME,KXNBAGAME"
2025-11-06T16:39:50.258234Z,ready,True,"KXNFLGAME,KXNBAGAME"
2025-11-06T16:40:00.273147Z,stopping,False
2025-11-06T16:40:00.274408Z,stopped
2025-11-06T16:48:55.825111Z,ready,True,https://api.elections.kalshi.com,"KXNFLGAME,KXNBAGAME"
2025-11-08T02:58:54.006685Z,ready,True,https://api.elections.kalshi.com,"KXNFLGAME,KXNBAGAME"
2025-11-08T03:18:18.655199Z,ready,True,https://api.elections.kalshi.com,"KXNFLGAME,KXNBAGAME,KXNCAAFGAME,KXNCAAMBGAME,KXTENNISMATCH,KXEPLGAME,KXUELGAME,KXNFLTOTALS,KXNFLSPREADS,KXNBATOTALS",
2025-11-08T03:24:03.162772Z,stopped
2025-11-08T04:16:49.748194Z,ready,True,https://api.elections.kalshi.com,"KXNFLGAME,KXNBAGAME,KXNCAAFGAME,KXNCAAMBGAME,KXTENNISMATCH,KXEPLGAME,KXUELGAME,KXNFLTOTALS,KXNFLSPREADS,KXNBATOTALS",
2025-11-08T04:24:49.313249Z,stopped
2025-11-08T04:26:36.209124Z,ready,True,https://api.elections.kalshi.com,"KXNFLGAME,KXNBAGAME,KXNCAAFGAME,KXNCAAMBGAME,KXTENNISMATCH,KXEPLGAME,KXUELGAME,KXNFLTOTALS,KXNFLSPREADS,KXNBATOTALS",
2025-11-08T04:26:42.771338Z,skip_status,,KXEPLGAME-25NOV08CFCWOL-CFC
2025-11-08T04:26:42.889665Z,skip_status,,KXEPLGAME-25NOV08CFCWOL-TIE
2025-11-08T04:26:43.035420Z,skip_status,,KXEPLGAME-25NOV08CFCWOL-WOL
2025-11-08T04:26:43.176660Z,skip_status,,KXEPLGAME-25NOV08EVEFUL-EVE
2025-11-08T04:26:43.304056Z,skip_status,,KXEPLGAME-25NOV08EVEFUL-FUL
2025-11-08T04:26:43.440477Z,skip_status,,KXEPLGAME-25NOV08EVEFUL-TIE
2025-11-08T04:26:43.569952Z,skip_status,,KXEPLGAME-25NOV08SUNARS-ARS
2025-11-08T04:26:43.709833Z,skip_status,,KXEPLGAME-25NOV08SUNARS-SUN
2025-11-08T04:26:43.844814Z,skip_status,,KXEPLGAME-25NOV08SUNARS-TIE
2025-11-08T04:26:44.011924Z,skip_status,,KXEPLGAME-25NOV08TOTMUN-MUN
2025-11-08T04:26:44.128986Z,skip_status,,KXEPLGAME-25NOV08TOTMUN-TIE
2025-11-08T04:26:44.316471Z,skip_status,,KXEPLGAME-25NOV08TOTMUN-TOT
2025-11-08T04:26:44.460734Z,skip_status,,KXEPLGAME-25NOV08WHUBUR-BUR
2025-11-08T04:26:44.613586Z,skip_status,,KXEPLGAME-25NOV08WHUBUR-TIE
2025-11-08T04:26:44.742843Z,skip_status,,KXEPLGAME-25NOV08WHUBUR-WHU
2025-11-08T04:26:44.876201Z,skip_status,,KXEPLGAME-25NOV09AVLBOU-AVL
2025-11-08T04:26:45.016832Z,skip_status,,KXEPLGAME-25NOV09AVLBOU-BOU
2025-11-08T04:26:45.160381Z,skip_status,,KXEPLGAME-25NOV09AVLBOU-TIE
2025-11-08T04:26:45.347084Z,skip_status,,KXEPLGAME-25NOV09BRENEW-BRE
2025-11-08T04:26:45.532043Z,skip_status,,KXEPLGAME-25NOV09BRENEW-NEW
2025-11-08T04:26:45.657856Z,skip_status,,KXEPLGAME-25NOV09BRENEW-TIE
2025-11-08T04:26:45.776175Z,skip_status,,KXEPLGAME-25NOV09CRYBRI-BRI
2025-11-08T04:26:45.900591Z,skip_status,,KXEPLGAME-25NOV09CRYBRI-CRY
2025-11-08T04:26:46.043461Z,skip_status,,KXEPLGAME-25NOV09CRYBRI-TIE
2025-11-08T04:26:46.230140Z,skip_status,,KXEPLGAME-25NOV09MCILFC-LFC
2025-11-08T04:26:46.380248Z,skip_status,,KXEPLGAME-25NOV09MCILFC-MCI
2025-11-08T04:26:46.542137Z,skip_status,,KXEPLGAME-25NOV09MCILFC-TIE
2025-11-08T04:26:46.683824Z,skip_status,,KXEPLGAME-25NOV09NFOLEE-LEE
2025-11-08T04:26:46.825061Z,skip_status,,KXEPLGAME-25NOV09NFOLEE-NFO
2025-11-08T04:26:46.942818Z,skip_status,,KXEPLGAME-25NOV09NFOLEE-TIE
2025-11-08T04:26:47.082622Z,skip_status,,KXEPLGAME-25NOV22BOUWHU-BOU
2025-11-08T04:26:47.236991Z,skip_status,,KXEPLGAME-25NOV22BOUWHU-TIE
2025-11-08T04:26:47.384378Z,skip_status,,KXEPLGAME-25NOV22BOUWHU-WHU
2025-11-08T04:26:47.550531Z,skip_status,,KXEPLGAME-25NOV22BRIBRE-BRE
2025-11-08T04:26:47.718426Z,skip_status,,KXEPLGAME-25NOV22BRIBRE-BRI
2025-11-08T04:26:47.861479Z,skip_status,,KXEPLGAME-25NOV22BRIBRE-TIE
2025-11-08T04:26:47.988467Z,skip_status,,KXEPLGAME-25NOV22BURCFC-BUR
2025-11-08T04:26:48.116268Z,skip_status,,KXEPLGAME-25NOV22BURCFC-CFC
2025-11-08T04:26:48.277456Z,skip_status,,KXEPLGAME-25NOV22BURCFC-TIE
2025-11-08T04:26:48.429091Z,skip_status,,KXEPLGAME-25NOV22FULSUN-FUL
2025-11-08T04:26:48.576880Z,skip_status,,KXEPLGAME-25NOV22FULSUN-SUN
2025-11-08T04:26:48.695664Z,skip_status,,KXEPLGAME-25NOV22FULSUN-TIE
2025-11-08T04:26:48.834738Z,skip_status,,KXEPLGAME-25NOV22LFCNFO-LFC
2025-11-08T04:26:48.963247Z,skip_status,,KXEPLGAME-25NOV22LFCNFO-NFO
2025-11-08T04:26:49.086994Z,skip_status,,KXEPLGAME-25NOV22LFCNFO-TIE
2025-11-08T04:26:49.205226Z,skip_status,,KXEPLGAME-25NOV22NEWMCI-MCI
2025-11-08T04:26:49.331223Z,skip_status,,KXEPLGAME-25NOV22NEWMCI-NEW
2025-11-08T04:26:49.451030Z,skip_status,,KXEPLGAME-25NOV22NEWMCI-TIE
2025-11-08T04:26:49.580611Z,skip_status,,KXEPLGAME-25NOV22WOLCRY-CRY
2025-11-08T04:26:49.699354Z,skip_status,,KXEPLGAME-25NOV22WOLCRY-TIE
2025-11-08T04:26:49.830551Z,skip_status,,KXEPLGAME-25NOV22WOLCRY-WOL
2025-11-08T04:26:49.952245Z,skip_status,,KXEPLGAME-25NOV23ARSTOT-ARS
2025-11-08T04:26:50.083182Z,skip_status,,KXEPLGAME-25NOV23ARSTOT-TIE
2025-11-08T04:26:50.208982Z,skip_status,,KXEPLGAME-25NOV23ARSTOT-TOT
2025-11-08T04:26:50.348428Z,skip_status,,KXEPLGAME-25NOV23LEEAVL-AVL
2025-11-08T04:26:50.483670Z,skip_status,,KXEPLGAME-25NOV23LEEAVL-LEE
2025-11-08T04:26:50.611959Z,skip_status,,KXEPLGAME-25NOV23LEEAVL-TIE
2025-11-08T04:26:50.739115Z,skip_status,,KXNBAGAME-25NOV07GSWDEN-DEN
2025-11-08T04:26:50.862808Z,skip_status,,KXNBAGAME-25NOV07GSWDEN-GSW
2025-11-08T04:26:50.986417Z,skip_status,,KXNBAGAME-25NOV07OKCSAC-OKC
2025-11-08T04:26:51.120787Z,skip_status,,KXNBAGAME-25NOV07OKCSAC-SAC
2025-11-08T04:26:52.379899Z,skip_status,,KXNBAGAME-25NOV08CHICLE-CHI
2025-11-08T04:26:52.514191Z,skip_status,,KXNBAGAME-25NOV08CHICLE-CLE
2025-11-08T04:26:52.660524Z,skip_status,,KXNBAGAME-25NOV08DALWAS-DAL
2025-11-08T04:26:52.846203Z,skip_status,,KXNBAGAME-25NOV08DALWAS-WAS
2025-11-08T04:26:52.980787Z,skip_status,,KXNBAGAME-25NOV08INDDEN-DEN
2025-11-08T04:26:53.098132Z,skip_status,,KXNBAGAME-25NOV08INDDEN-IND
2025-11-08T04:26:53.230137Z,skip_status,,KXNBAGAME-25NOV08LALATL-ATL
2025-11-08T04:26:53.376962Z,skip_status,,KXNBAGAME-25NOV08LALATL-LAL
2025-11-08T04:26:53.533190Z,skip_status,,KXNBAGAME-25NOV08NOPSAS-NOP
2025-11-08T04:26:53.668743Z,skip_status,,KXNBAGAME-25NOV08NOPSAS-SAS
2025-11-08T04:26:53.800233Z,skip_status,,KXNBAGAME-25NOV08PHXLAC-LAC
2025-11-08T04:26:53.922384Z,skip_status,,KXNBAGAME-25NOV08PHXLAC-PHX
2025-11-08T04:26:54.047749Z,skip_status,,KXNBAGAME-25NOV08PORMIA-MIA
2025-11-08T04:26:54.170363Z,skip_status,,KXNBAGAME-25NOV08PORMIA-POR
2025-11-08T04:26:54.289098Z,skip_status,,KXNBAGAME-25NOV08TORPHI-PHI
2025-11-08T04:26:54.406144Z,skip_status,,KXNBAGAME-25NOV08TORPHI-TOR
2025-11-08T04:26:54.526405Z,skip_status,,KXNBAGAME-25NOV09BKNNYK-BKN
2025-11-08T04:26:54.647699Z,skip_status,,KXNBAGAME-25NOV09BKNNYK-NYK
2025-11-08T04:26:54.772900Z,skip_status,,KXNBAGAME-25NOV09BOSORL-BOS
2025-11-08T04:26:54.886512Z,skip_status,,KXNBAGAME-25NOV09BOSORL-ORL
2025-11-08T04:26:55.002518Z,skip_status,,KXNBAGAME-25NOV09DETPHI-DET
2025-11-08T04:26:55.124875Z,skip_status,,KXNBAGAME-25NOV09DETPHI-PHI
2025-11-08T04:26:55.248545Z,skip_status,,KXNBAGAME-25NOV09HOUMIL-HOU
2025-11-08T04:26:55.373137Z,skip_status,,KXNBAGAME-25NOV09HOUMIL-MIL
2025-11-08T04:26:55.578753Z,skip_status,,KXNBAGAME-25NOV09INDGSW-GSW
2025-11-08T04:26:55.718440Z,skip_status,,KXNBAGAME-25NOV09INDGSW-IND
2025-11-08T04:26:55.834790Z,skip_status,,KXNBAGAME-25NOV09MINSAC-MIN
2025-11-08T04:26:55.951601Z,skip_status,,KXNBAGAME-25NOV09MINSAC-SAC
2025-11-08T04:26:56.067758Z,skip_status,,KXNBAGAME-25NOV09OKCMEM-MEM
2025-11-08T04:26:56.187896Z,skip_status,,KXNBAGAME-25NOV09OKCMEM-OKC
2025-11-08T04:26:56.335612Z,skip_status,,KXNCAAFGAME-25NOV07HOUUCF-HOU
2025-11-08T04:26:56.488592Z,skip_status,,KXNCAAFGAME-25NOV07HOUUCF-UCF
2025-11-08T04:26:56.626759Z,skip_status,,KXNCAAFGAME-25NOV07NWUSC-NW
2025-11-08T04:26:56.775375Z,skip_status,,KXNCAAFGAME-25NOV07NWUSC-USC
2025-11-08T04:26:56.925057Z,skip_status,,KXNCAAFGAME-25NOV07TULNMEM-MEM
2025-11-08T04:26:57.058470Z,skip_status,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-11-08T04:26:57.228126Z,skip_status,,KXNCAAFGAME-25NOV08AFASJSU-AFA
2025-11-08T04:26:58.414510Z,skip_status,,KXNCAAFGAME-25NOV08AFASJSU-SJSU
2025-11-08T04:26:58.627489Z,skip_status,,KXNCAAFGAME-25NOV08AUBVAN-AUB
2025-11-08T04:26:58.819578Z,skip_status,,KXNCAAFGAME-25NOV08AUBVAN-VAN
2025-11-08T04:26:58.963446Z,skip_status,,KXNCAAFGAME-25NOV08BGSUEMU-BGSU
2025-11-08T04:26:59.111677Z,skip_status,,KXNCAAFGAME-25NOV08BGSUEMU-EMU
2025-11-08T04:26:59.270824Z,skip_status,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-11-08T04:26:59.412190Z,skip_status,,KXNCAAFGAME-25NOV08BYUTTU-TTU
2025-11-08T04:26:59.574804Z,skip_status,,KXNCAAFGAME-25NOV08CALLOU-CAL
2025-11-08T04:26:59.733477Z,skip_status,,KXNCAAFGAME-25NOV08CALLOU-LOU
2025-11-08T04:26:59.908614Z,skip_status,,KXNCAAFGAME-25NOV08CHARECU-CHAR
2025-11-08T04:27:00.098361Z,skip_status,,KXNCAAFGAME-25NOV08CHARECU-ECU
2025-11-08T04:27:00.281367Z,skip_status,,KXNCAAFGAME-25NOV08CITMISS-CIT
2025-11-08T04:27:01.699642Z,skip_status,,KXNCAAFGAME-25NOV08CITMISS-MISS
2025-11-08T04:27:01.846252Z,skip_status,,KXNCAAFGAME-25NOV08COLOWVU-COLO
2025-11-08T04:27:02.008979Z,skip_status,,KXNCAAFGAME-25NOV08COLOWVU-WVU
2025-11-08T04:27:02.168711Z,skip_status,,KXNCAAFGAME-25NOV08DUKECONN-CONN
2025-11-08T04:27:02.323121Z,skip_status,,KXNCAAFGAME-25NOV08DUKECONN-DUKE
2025-11-08T04:27:02.439080Z,skip_status,,KXNCAAFGAME-25NOV08FIUMTU-FIU
2025-11-08T04:27:02.612195Z,skip_status,,KXNCAAFGAME-25NOV08FIUMTU-MTU
2025-11-08T04:27:02.807201Z,skip_status,,KXNCAAFGAME-25NOV08FLAUK-FLA
2025-11-08T04:27:02.977310Z,skip_status,,KXNCAAFGAME-25NOV08FLAUK-UK
2025-11-08T04:27:04.038669Z,skip_status,,KXNCAAFGAME-25NOV08FSUCLEM-CLEM
2025-11-08T04:27:04.197926Z,skip_status,,KXNCAAFGAME-25NOV08FSUCLEM-FSU
2025-11-08T04:27:04.336954Z,skip_status,,KXNCAAFGAME-25NOV08GASTCCAR-CCAR
2025-11-08T04:27:04.479287Z,skip_status,,KXNCAAFGAME-25NOV08GASTCCAR-GAST
2025-11-08T04:27:04.595945Z,skip_status,,KXNCAAFGAME-25NOV08INDPSU-IND
2025-11-08T04:27:04.701984Z,skip_status,,KXNCAAFGAME-25NOV08INDPSU-PSU
2025-11-08T04:27:04.814466Z,skip_status,,KXNCAAFGAME-25NOV08ISUTCU-ISU
2025-11-08T04:27:04.932832Z,skip_status,,KXNCAAFGAME-25NOV08ISUTCU-TCU
2025-11-08T04:27:05.057960Z,skip_status,,KXNCAAFGAME-25NOV08JMUMRSH-JMU
2025-11-08T04:27:05.192899Z,skip_status,,KXNCAAFGAME-25NOV08JMUMRSH-MRSH
2025-11-08T04:27:05.370492Z,skip_status,,KXNCAAFGAME-25NOV08JVSTUTEP-JVST
2025-11-08T04:27:05.497213Z,skip_status,,KXNCAAFGAME-25NOV08JVSTUTEP-UTEP
2025-11-08T04:27:05.637491Z,skip_status,,KXNCAAFGAME-25NOV08KENNNMSU-KENN
2025-11-08T04:27:05.777592Z,skip_status,,KXNCAAFGAME-25NOV08KENNNMSU-NMSU
2025-11-08T04:27:05.901793Z,skip_status,,KXNCAAFGAME-25NOV08KUARIZ-ARIZ
2025-11-08T04:27:06.028991Z,skip_status,,KXNCAAFGAME-25NOV08KUARIZ-KU
2025-11-08T04:27:06.167969Z,skip_status,,KXNCAAFGAME-25NOV08LSUALA-ALA
2025-11-08T04:27:06.311643Z,skip_status,,KXNCAAFGAME-25NOV08LSUALA-LSU
2025-11-08T04:27:06.441138Z,skip_status,,KXNCAAFGAME-25NOV08LTDEL-DEL
2025-11-08T04:27:06.604400Z,skip_status,,KXNCAAFGAME-25NOV08LTDEL-LT
2025-11-08T04:27:06.746892Z,skip_status,,KXNCAAFGAME-25NOV08MDRUTG-MD
2025-11-08T04:27:06.870530Z,skip_status,,KXNCAAFGAME-25NOV08MDRUTG-RUTG
2025-11-08T04:27:07.006322Z,skip_status,,KXNCAAFGAME-25NOV08MOSULIB-LIB
2025-11-08T04:27:07.140517Z,skip_status,,KXNCAAFGAME-25NOV08MOSULIB-MOSU
2025-11-08T04:27:07.284864Z,skip_status,,KXNCAAFGAME-25NOV08NAVYND-NAVY
2025-11-08T04:27:07.417204Z,skip_status,,KXNCAAFGAME-25NOV08NAVYND-ND
2025-11-08T04:27:07.552250Z,skip_status,,KXNCAAFGAME-25NOV08NEBUCLA-NEB
2025-11-08T04:27:07.721471Z,skip_status,,KXNCAAFGAME-25NOV08NEBUCLA-UCLA
2025-11-08T04:27:07.864166Z,skip_status,,KXNCAAFGAME-25NOV08NEVUSU-NEV
2025-11-08T04:27:07.993964Z,skip_status,,KXNCAAFGAME-25NOV08NEVUSU-USU
2025-11-08T04:27:08.137095Z,skip_status,,KXNCAAFGAME-25NOV08OREIOWA-IOWA
2025-11-08T04:27:08.278652Z,skip_status,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-11-08T04:27:08.441276Z,skip_status,,KXNCAAFGAME-25NOV08OSUPUR-OSU
2025-11-08T04:27:08.606846Z,skip_status,,KXNCAAFGAME-25NOV08OSUPUR-PUR
2025-11-08T04:27:08.827545Z,skip_status,,KXNCAAFGAME-25NOV08SDSUHAW-HAW
2025-11-08T04:27:08.966284Z,skip_status,,KXNCAAFGAME-25NOV08SDSUHAW-SDSU
2025-11-08T04:27:09.165997Z,skip_status,,KXNCAAFGAME-25NOV08SHSUORST-ORST
2025-11-08T04:27:10.278291Z,skip_status,,KXNCAAFGAME-25NOV08SHSUORST-SHSU
2025-11-08T04:27:10.423337Z,skip_status,,KXNCAAFGAME-25NOV08SMUBC-BC
2025-11-08T04:27:10.564045Z,skip_status,,KXNCAAFGAME-25NOV08SMUBC-SMU
2025-11-08T04:27:10.702457Z,skip_status,,KXNCAAFGAME-25NOV08STANUNC-STAN
2025-11-08T04:27:10.839995Z,skip_status,,KXNCAAFGAME-25NOV08STANUNC-UNC
2025-11-08T04:27:10.967732Z,skip_status,,KXNCAAFGAME-25NOV08SYRMIA-MIA
2025-11-08T04:27:11.133823Z,skip_status,,KXNCAAFGAME-25NOV08SYRMIA-SYR
2025-11-08T04:27:11.251739Z,skip_status,,KXNCAAFGAME-25NOV08TEMARMY-ARMY
2025-11-08T04:27:11.371020Z,skip_status,,KXNCAAFGAME-25NOV08TEMARMY-TEM
2025-11-08T04:27:11.509065Z,skip_status,,KXNCAAFGAME-25NOV08TLSAFAU-FAU
2025-11-08T04:27:11.638937Z,skip_status,,KXNCAAFGAME-25NOV08TLSAFAU-TLSA
2025-11-08T04:27:11.763760Z,skip_status,,KXNCAAFGAME-25NOV08TXAMMIZZ-MIZZ
2025-11-08T04:27:11.886324Z,skip_status,,KXNCAAFGAME-25NOV08TXAMMIZZ-TXAM
2025-11-08T04:27:12.023689Z,skip_status,,KXNCAAFGAME-25NOV08TXSTULL-TXST
2025-11-08T04:27:12.186052Z,skip_status,,KXNCAAFGAME-25NOV08TXSTULL-ULL
2025-11-08T04:27:12.338815Z,skip_status,,KXNCAAFGAME-25NOV08UABRICE-RICE
2025-11-08T04:27:12.465796Z,skip_status,,KXNCAAFGAME-25NOV08UABRICE-UAB
2025-11-08T04:27:12.586408Z,skip_status,,KXNCAAFGAME-25NOV08UGAMSST-MSST
2025-11-08T04:27:12.760806Z,skip_status,,KXNCAAFGAME-25NOV08UGAMSST-UGA
2025-11-08T04:27:12.895577Z,skip_status,,KXNCAAFGAME-25NOV08UNLVCSU-CSU
2025-11-08T04:27:13.043728Z,skip_status,,KXNCAAFGAME-25NOV08UNLVCSU-UNLV
2025-11-08T04:27:13.177157Z,skip_status,,KXNCAAFGAME-25NOV08USMARST-ARST
2025-11-08T04:27:13.302207Z,skip_status,,KXNCAAFGAME-25NOV08USMARST-USM
2025-11-08T04:27:13.469320Z,skip_status,,KXNCAAFGAME-25NOV08WAKEUVA-UVA
2025-11-08T04:27:13.592732Z,skip_status,,KXNCAAFGAME-25NOV08WAKEUVA-WAKE
2025-11-08T04:27:13.745861Z,skip_status,,KXNCAAFGAME-25NOV08WASHWIS-WASH
2025-11-08T04:27:13.885442Z,skip_status,,KXNCAAFGAME-25NOV08WASHWIS-WIS
2025-11-08T04:27:14.007010Z,skip_status,,KXNCAAFGAME-25NOV11KENTAKR-AKR
2025-11-08T04:27:14.130231Z,skip_status,,KXNCAAFGAME-25NOV11KENTAKR-KENT
2025-11-08T04:27:14.266430Z,skip_status,,KXNCAAFGAME-25NOV11OHIOWMU-OHIO
2025-11-08T04:27:14.393195Z,skip_status,,KXNCAAFGAME-25NOV11OHIOWMU-WMU
2025-11-08T04:27:14.518242Z,skip_status,,KXNCAAFGAME-25NOV12BUFFCMU-BUFF
2025-11-08T04:27:14.643816Z,skip_status,,KXNCAAFGAME-25NOV12BUFFCMU-CMU
2025-11-08T04:27:14.754689Z,skip_status,,KXNCAAFGAME-25NOV12NIUMASS-MASS
2025-11-08T04:27:14.871726Z,skip_status,,KXNCAAFGAME-25NOV12NIUMASS-NIU
2025-11-08T04:27:15.001945Z,skip_status,,KXNCAAFGAME-25NOV12TOLM-OH-M-OH
2025-11-08T04:27:15.137097Z,skip_status,,KXNCAAFGAME-25NOV12TOLM-OH-TOL
2025-11-08T04:27:15.398089Z,skip_status,,KXNCAAFGAME-25NOV13TROYODU-ODU
2025-11-08T04:27:15.568432Z,skip_status,,KXNCAAFGAME-25NOV13TROYODU-TROY
2025-11-08T04:27:15.751779Z,skip_status,,KXNCAAFGAME-25NOV14CLEMLOU-CLEM
2025-11-08T04:27:15.885131Z,skip_status,,KXNCAAFGAME-25NOV14CLEMLOU-LOU
2025-11-08T04:27:16.031701Z,skip_status,,KXNCAAFGAME-25NOV14MINNORE-MINN
2025-11-08T04:27:16.184824Z,skip_status,,KXNCAAFGAME-25NOV14MINNORE-ORE
2025-11-08T04:27:16.339410Z,skip_status,,KXNCAAFGAME-25NOV15AFACONN-AFA
2025-11-08T04:27:16.490418Z,skip_status,,KXNCAAFGAME-25NOV15AFACONN-CONN
2025-11-08T04:27:16.638843Z,skip_status,,KXNCAAFGAME-25NOV15APPJMU-APP
2025-11-08T04:27:16.824166Z,skip_status,,KXNCAAFGAME-25NOV15APPJMU-JMU
2025-11-08T04:27:16.947920Z,skip_status,,KXNCAAFGAME-25NOV15ARIZCIN-ARIZ
2025-11-08T04:27:17.088129Z,skip_status,,KXNCAAFGAME-25NOV15ARIZCIN-CIN
2025-11-08T04:27:17.214733Z,skip_status,,KXNCAAFGAME-25NOV15ARKLSU-ARK
2025-11-08T04:27:17.356003Z,skip_status,,KXNCAAFGAME-25NOV15ARKLSU-LSU
2025-11-08T04:27:17.477711Z,skip_status,,KXNCAAFGAME-25NOV15BSUSDSU-BSU
2025-11-08T04:27:17.599533Z,skip_status,,KXNCAAFGAME-25NOV15BSUSDSU-SDSU
